Release Clause Score,50,
Offered Role Equal,50,
Offered Role Greater,25,
Offered Role Lower ,0,
Another Club Accepted,-50,
Another Club Pending,-25,
Free Agent Points,50,
,,
Team Overall >=,Score,
83,100,
75,80,
69,60,
65,40,
60,30,
1,20,
,,
League Rank,Score,
0,100,
1,75,
2,50,
3,25,
4,0,
,,
Current Contract Years,Score,
0,100,
1,50,
2,25,
3,0,
4,-25,
5,-50,
,,
Offered Contract Years,Score,
0,0,
1,15,
2,20,
3,20,
4,25,
5,25,
,,
Time At Club,Score,
6,-100,
12,0,
24,25,
36,50,
48,75,
60,100,
,,
Preferred Position Available,Score,Comment
0,-100,Fallback Case
1,50,Player first preffered position found
2,0,
3,-10,
4,-20,
